model,model_short,profile,task_id,run_id,cyclomatic_complexity,max_nesting_depth,function_count,class_count,total_lines,comment_lines,comment_ratio,docstring_count,type_annotation_count,comprehension_count,try_except_count,unique_imports,avg_function_length,parse_error,has_clarifying_questions,explanation_length,code_length,code_to_explanation_ratio,advanced_pattern_count,assumption_count,architectural_sophistication,defensive_coding,idiomatic_density,verbosity_ratio,strategy_score
sonnet,sonnet,B,task1,1,13,2,7,1,139,6,0.0432,8,14,0,0,4,9.57,False,False,1825,4890,2.6795,14,0,5.3,5.1,5.8,0.3732,0
sonnet,sonnet,B,task2,1,4,2,6,2,96,6,0.0625,6,12,0,0,0,10.33,False,False,1301,3484,2.6779,0,0,4.6,4.8,2.4,0.3734,0
sonnet,sonnet,B,task3,1,17,1,16,1,215,7,0.0326,2,19,11,1,9,8.69,False,False,1924,7926,4.1195,21,0,7.4,4.85,9.8,0.2427,0
sonnet,sonnet,B,task4,1,64,4,38,3,446,19,0.0426,9,37,9,4,10,8.0,False,False,3106,14446,4.651,19,0,8.0,9.2,10.0,0.215,0
sonnet,sonnet,B,task5,1,11,2,9,2,145,7,0.0483,3,16,1,1,7,7.89,False,False,1818,4160,2.2882,23,0,7.25,5.0,6.8,0.437,0
sonnet,sonnet,C,task1,1,17,2,11,2,132,10,0.0758,7,17,0,0,3,6.91,False,False,1448,4490,3.1008,9,0,6.55,5.55,6.1,0.3225,0
sonnet,sonnet,C,task2,1,4,1,6,2,83,4,0.0482,6,10,0,0,0,7.67,False,False,658,2491,3.7857,0,0,4.8,4.5,2.0,0.2642,0
sonnet,sonnet,C,task3,1,36,6,15,2,210,7,0.0333,1,23,13,1,8,9.33,False,False,1193,8684,7.2791,30,0,7.0,4.4,10.0,0.1374,0
sonnet,sonnet,C,task4,1,14,2,11,4,197,21,0.1066,10,19,5,1,5,8.64,False,False,1565,6210,3.9681,20,0,8.25,6.65,9.8,0.252,0
sonnet,sonnet,C,task5,1,10,2,6,3,109,6,0.055,2,15,0,2,6,9.0,False,False,1957,3521,1.7992,10,0,6.7,5.05,6.0,0.5558,0
sonnet,sonnet,D,task1,1,22,2,13,5,203,3,0.0148,7,37,0,0,5,9.69,False,False,1408,7126,5.0611,18,0,8.85,6.0,7.0,0.1976,0
sonnet,sonnet,D,task2,1,7,2,10,2,122,9,0.0738,7,19,0,0,2,6.3,False,False,1636,3868,2.3643,4,0,6.3,5.85,5.0,0.423,0
sonnet,sonnet,D,task3,1,18,1,16,0,159,12,0.0755,2,12,4,2,8,6.44,False,False,1251,5979,4.7794,19,0,6.8,4.6,7.8,0.2092,0
sonnet,sonnet,D,task4,1,36,3,15,2,254,15,0.0591,7,32,1,1,8,10.73,False,False,1828,8363,4.5749,16,0,7.6,6.8,7.6,0.2186,0
sonnet,sonnet,D,task5,1,8,2,5,3,124,15,0.121,1,11,0,1,7,11.4,False,False,576,4294,7.4549,14,0,6.65,3.05,5.2,0.1341,0
sonnet,sonnet,E,task1,1,2,1,1,0,15,2,0.1333,0,0,1,0,0,15.0,False,False,1210,562,0.4645,0,0,2.1,0.0,0.6,2.153,0
sonnet,sonnet,E,task2,1,5,2,6,2,160,41,0.2562,6,0,0,0,0,12.5,False,False,804,6178,7.6841,0,0,4.6,3.0,0.0,0.1301,0
sonnet,sonnet,E,task3,1,1,0,0,0,1,1,1.0,0,0,0,0,0,0.0,False,False,302,26,0.0861,0,0,2.0,0.0,0.0,11.6154,0
sonnet,sonnet,E,task4,1,7,1,8,1,192,87,0.4531,4,0,1,0,2,14.12,False,False,1460,8129,5.5678,10,0,5.3,2.4,3.6,0.1796,0
sonnet,sonnet,E,task5,1,12,2,6,0,124,9,0.0726,5,0,0,1,2,15.33,False,False,1471,4179,2.8409,8,0,3.9,3.8,2.4,0.352,0
